Step    -1: 10001 ms
Step    -1: 10001 ms
Step    -1: 10000 ms
Step    -1:  1899 ms
Step    -1:    47 ms
Step    -1:   867 ms
Step    -1:    49 ms
Step    -1:   874 ms
Step    -1:   137 ms
Step    -1:   770 ms
Step    -1: 31,20/0 ? | 31,22/0 ? | 32,23/0 se| 31,24/0 n | 31,28/0 ? | 32,29/0 ? |   253 ms
Step     0: 31,20/0 ne| 32,21/0 se| 31,22/0 ? | 32,23/0 se| 31,24/0 n | 32,27/0 ? | 31,28/0 ? | 32,29/0 ? | 31,30/0 se|   626 ms
Step     0: 32,19/0 ne| 33,22/0 se| 31,22/1 e | 33,24/0 se| 31,24/1 n | 31,26/0 se| 32,27/1 ? | 31,28/1 ? | 32,29/1 ? | 32,31/0 se|  2985 ms
Step     2: 32,18/0 n | 34,23/0 se| 32,21/0 e | 33,24/1 se| 31,24/2 n | 31,26/1 se| 32,27/2 se| 31,28/2 e | 32,29/2 se| 32,31/1 sw|  3652 ms
Step     2: 32,17/0 n | 35,24/0 se| 32,21/1 e | 35,26/0 se| 31,23/0 se| 31,26/2 se| 32,27/3 se| 32,28/0 se| 33,30/0 se| 31,32/0 sw|  3611 ms
Step     2: 32,17/1 n | 35,24/1 se| 33,21/0 e | 35,26/1 se| 31,23/1 se| 31,26/3 se| 33,28/0 se| 33,29/0 s | 34,31/0 se| 30,33/0 sw|    22 ms
Step     3: 31,16/0 nw| 35,24/2 se| 33,21/1 ne| 35,27/0 n | 31,23/2 ne| 31,26/4 e | 33,28/1 se| 33,29/1 s | 34,31/1 sw| 30,33/1 sw|  3595 ms
Step     3: 31,16/1 nw| 36,25/0 se| 34,20/0 ne| 35,27/1 n | 31,23/3 ne| 32,26/0 se| 34,29/0 se| 33,30/0 s | 33,32/0 sw| 29,34/0 sw|    54 ms
Step     4: 30,15/0 nw| 36,25/1 sk| 34,20/1 nw| 35,27/2 n | 31,23/4 ne| 32,26/1 se| 34,29/1 s | 33,31/0 s | 33,32/1 s | 29,34/1 sw|  3557 ms
Step     4: 30,15/1 nw| 36,25/2 sk| 34,20/2 nw| 35,26/0 n | 32,22/0 ne| 33,27/0 se| 34,30/0 s | 33,31/1 s | 33,33/0 se| 28,35/0 sw|    16 ms
Step     5: 30,15/2 nw| 36,25/3 sk| 34,20/3 nw| 35,26/1 nw| 32,22/1 ne| 33,27/1 s | 34,30/1 s | 33,31/2 s | 33,33/1 se| 27,36/0 sw|  3593 ms
Step     5: 30,15/3 nw| 36,25/4 sk| 33,19/0 nw| 34,25/0 nw| 33,21/0 n | 33,28/0 s | 34,31/0 s | 33,32/0 s | 33,33/2 se| 27,36/1 sw|    67 ms
